DataZone,IncNumDep,EmpNumDep,HouseNumOC,EduNoQuals
S01008417,0.598526095,0.497979132,0.611009637,0.45738263
S01008418,0.387629352,0.423418785,0.580656746,0.314139951
S01008419,0.54188258,0.497979132,0.646982402,0.549075701
S01008420,0.504317414,0.29595703,0.624905631,0.111898908
S01008421,0.791303724,0.700001234,0.821941968,0.663643034
S01008422,0.387629352,0.29595703,0.448450571,0.45738263
S01008423,0.504317414,0.497979132,0.630367696,0.532066721
S01008424,0.387629352,0.497979132,0.594981084,0.354711147
S01008425,0.598526095,0.55088054,0.675149049,0.554369159
S01008426,0.658570642,0.678342295,0.85557635,0.607193103
S01008427,0.455887493,0.497979132,0.655677771,0.624951207
S01008428,0.715214157,0.625440887,0.862700494,0.663643034
S01008429,0.387629352,0.55088054,0.674178342,0.519642438
S01008430,0.640833695,0.625440887,0.661799761,0.676361104
S01008431,0.598526095,0.59191406,0.684474328,0.595517944
S01008432,0.504317414,0.29595703,0.670675761,0.525974073
S01008433,0.455887493,0.423418785,0.718393841,0.491495525
S01008434,0.455887493,0.29595703,0.707518736,0.537937768
S01008435,0.27094129,0.423418785,0.685225452,0.532066721
S01008436,0.572575555,0.59191406,0.64342768,0.519642438
S01008437,0.598526095,0.625440887,0.667548274,0.646927841
S01008438,0.27094129,0.29595703,0.676375895,0.578508964
S01008439,0.54188258,0.423418785,0.428280879,0.549075701
S01008440,0.504317414,0.497979132,0.459337961,0.447595633
S01008441,0.27094129,0.29595703,0.584437327,0.387106622
S01008442,0.387629352,0.423418785,0.505632075,0.45738263
S01008443,0.387629352,0.423418785,0.623381186,0.354711147
S01008444,0.455887493,0.29595703,0.706263137,0.652694025
S01008445,0.737693538,0.497979132,0.778594295,0.735159671
S01008446,0.387629352,0.29595703,0.527051636,0.414075165
S01008447,0.387629352,0.423418785,0.559413898,0.42603886
S01008448,0.54188258,0.55088054,0.731260491,0.57396117
S01008449,0.929511931,0.855809517,0.910605466,0.779463657
S01008450,0.837809678,0.752902642,0.8925486,0.767400587
S01008451,0.929511931,0.949744445,0.980475509,0.81830362
S01008452,0.94246796,0.880364397,0.943981035,0.822314658
S01008453,0.674615661,0.59191406,0.881062119,0.848749024
S01008454,0.951569922,0.915163813,0.905779438,0.82719225
S01008455,0.948590282,0.927427586,0.938777653,0.865505563
S01008456,0.962987537,0.991825765,0.926915932,0.857742721
S01008457,0.819426492,0.78124917,0.934832758,0.772873518
S01008458,0.825779898,0.78124917,0.900255527,0.770160244
S01008459,0.907991786,0.938924357,0.92320627,0.775541942
S01008460,0.95449774,0.915163813,0.969605303,0.830990919
S01008461,0.95449774,0.938924357,0.960034136,0.82622845
S01008462,0.891946766,0.902023336,0.961850408,0.666268067
S01008463,0.883311782,0.895083326,0.945140769,0.798908002
S01008464,0.715214157,0.625440887,0.877650266,0.794262042
S01008465,0.737693538,0.678342295,0.872073849,0.722803347
S01008466,0.798786968,0.719375815,0.874436111,0.754362796
S01008467,0.747899408,0.653787415,0.882461057,0.676361104
S01008468,0.70273843,0.653787415,0.909172861,0.733451337
S01008469,0.70273843,0.55088054,0.887609952,0.724627502
S01008470,0.891946766,0.793936162,0.93815166,0.817285093
S01008471,0.919095499,0.88787109,0.937575945,0.847058579
S01008472,0.843516844,0.767621571,0.911460345,0.822314658
S01008473,0.859561864,0.837405326,0.911185986,0.782026187
S01008474,0.883311782,0.86436401,0.932620392,0.763170581
S01008475,0.837809678,0.752902642,0.914377908,0.764592934
S01008476,0.843516844,0.793936162,0.914404159,0.755864538
S01008477,0.849036857,0.855809517,0.919836967,0.767400587
S01008478,0.849036857,0.84683757,0.839474669,0.825258861
S01008479,0.825779898,0.767621571,0.927260042,0.754362796
S01008480,0.747899408,0.752902642,0.883532275,0.794262042
S01008481,0.883311782,0.84683757,0.952373404,0.776859794
S01008482,0.775258704,0.736902255,0.88722136,0.701246573
S01008483,0.791303724,0.767621571,0.880851422,0.683537218
S01008484,0.715214157,0.678342295,0.839353084,0.694831053
S01008485,0.70273843,0.55088054,0.809737928,0.761735585
S01008486,0.775258704,0.752902642,0.821869821,0.746637112
S01008487,0.572575555,0.55088054,0.691605526,0.862445073
S01008488,0.737693538,0.719375815,0.829290501,0.764592934
S01008489,0.747899408,0.719375815,0.86339532,0.676361104
S01008490,0.791303724,0.752902642,0.775223158,0.84187837
S01008491,0.757521757,0.719375815,0.808558575,0.834702255
S01008492,0.859561864,0.86436401,0.851663834,0.820321596
S01008493,0.798786968,0.793936162,0.799578021,0.838330183
S01008494,0.812823869,0.88787109,0.843536036,0.849587654
S01008495,0.757521757,0.827462989,0.792840477,0.955087997
S01008496,0.689263617,0.767621571,0.723871477,0.950229091
S01008497,0.689263617,0.752902642,0.761436452,0.91476526
S01008498,0.783472298,0.855809517,0.791867104,0.903786848
S01008499,0.737693538,0.80580405,0.732201702,0.955522549
S01008500,0.766623719,0.816952217,0.891833614,0.778166976
S01008501,0.572575555,0.55088054,0.628021358,0.729979461
S01008502,0.455887493,0.423418785,0.658023196,0.819315761
S01008503,0.598526095,0.497979132,0.589881505,0.782026187
S01008504,0.572575555,0.55088054,0.601564538,0.763170581
S01008505,0.504317414,0.55088054,0.563535964,0.57396117
S01008506,0.572575555,0.497979132,0.511625353,0.709422294
S01008507,0.658570642,0.59191406,0.608646727,0.694831053
S01008508,0.387629352,0.423418785,0.506172188,0.483619036
S01008509,0.455887493,0.497979132,0.593398172,0.663643034
S01008510,0.455887493,0.497979132,0.632377057,0.646927841
S01008511,0.387629352,0.423418785,0.55889818,0.466610056
S01008512,0.27094129,0.29595703,0.476173583,0.289254482
S01008513,0.455887493,0.29595703,0.624739764,0.506181645
S01008514,0.598526095,0.59191406,0.516146411,0.491495525
S01008515,0.27094129,0.29595703,0.488320341,0.57396117
S01008516,0.70273843,0.752902642,0.664812829,0.85932544
S01008517,0.621005476,0.497979132,0.523153754,0.758826749
S01008518,0.455887493,0.497979132,0.467722362,0.660974609
S01008519,0.387629352,0.497979132,0.462326777,0.57396117
S01008520,0.455887493,0.423418785,0.47197412,0.513052299
S01008521,0.455887493,0.423418785,0.523281003,0.45738263
S01008522,0.387629352,0.29595703,0.201476394,0.259821219
S01008523,0.455887493,0.423418785,0.424570629,0.513052299
S01008524,0.904121609,0.895083326,0.888384936,0.830990919
S01008525,0.819426492,0.719375815,0.836790291,0.726431275
S01008526,0.791303724,0.736902255,0.821608208,0.729979461
S01008527,0.689263617,0.59191406,0.749169096,0.741817769
S01008528,0.674615661,0.653787415,0.785019838,0.709422294
S01008529,0.715214157,0.700001234,0.766161683,0.707416853
S01008530,0.887684632,0.872538176,0.894190414,0.80889692
S01008531,0.83190222,0.80580405,0.904353464,0.760287718
S01008532,0.715214157,0.653787415,0.866665899,0.582932145
S01008533,0.504317414,0.423418785,0.801766364,0.582932145
S01008534,0.27094129,0.29595703,0.62151307,0.54360277
S01008535,0.455887493,0.497979132,0.61556706,0.437176793
S01008536,0.387629352,0.423418785,0.649835153,0.289254482
S01008537,0.27094129,0.29595703,0.550020358,0.437176793
S01008538,0.27094129,0.29595703,0.520592691,0.289254482
S01008539,0.455887493,0.423418785,0.455706591,0.42603886
S01008540,0.455887493,0.497979132,0.55748093,0.40115339
S01008541,0.387629352,0.423418785,0.539222218,0.537937768
S01008542,0.504317414,0.497979132,0.617012562,0.595517944
S01008543,0.455887493,0.29595703,0.639563457,0.447595633
S01008544,0.27094129,0.29595703,0.437519699,0.491495525
S01008545,0.387629352,0.29595703,0.576060487,0.569281538
S01008546,0.27094129,0.29595703,0.52264717,0.414075165
S01008547,0.658570642,0.625440887,0.774230585,0.673896384
S01008548,0.70273843,0.653787415,0.822731591,0.673896384
S01008549,0.737693538,0.719375815,0.808409133,0.761735585
S01008550,0.504317414,0.497979132,0.723258115,0.628279902
S01008551,0.70273843,0.625440887,0.72726905,0.74977189
S01008552,0.572575555,0.59191406,0.708961571,0.607193103
S01008553,0.715214157,0.678342295,0.814872637,0.683537218
S01008554,0.951569922,0.902023336,0.96337563,0.914205689
S01008555,0.945556951,0.915163813,0.941880561,0.881373648
S01008556,0.891946766,0.872538176,0.904263864,0.807817077
S01008557,0.951569922,0.88787109,0.941108302,0.798908002
S01008558,0.87420982,0.827462989,0.88561064,0.831926783
